merchant_name,category
hdfc ergo,bills
park+,transport
hpcl,transport
safal app,groceries
bsnl,bills
more retail,groceries
revv,transport
patanjali,groceries
makemytrip,transport
blue tokai,food
starbucks online,food
puma.com,shopping
zomato,food
behrouz biryani,food
icici card service,bills
jiocinema,subscription
cleartrip,transport
natural ice cream,food
apple music,subscription
fastag pvt ltd,transport
icloud+,subscription
eatfit,food
nike,shopping
cleartrip.com,transport
linkedin premium service,subscription
goibibo pvt ltd,transport
tendercuts app,groceries
otipy india,groceries
irctc service,transport
westside,shopping
hdfc ergo,bills
sonyliv,subscription
bharat petroleum,transport
natural ice cream app,food
airtel,bills
h&m,shopping
sweet truth,food
mcdonalds,food
spencer's,groceries
tinder plus,subscription
delhi metro,transport
instamart india,groceries
google one online,subscription
cleartrip,transport
natural ice cream,food
reliance smart,groceries
mahanagar gas,bills
pizza hut,food
amazon service,shopping
rapido,transport
zoomcar,transport
adidas,shopping
nike,shopping
zee5.com,subscription
voot.com,subscription
zomato service,food
excitel,bills
airtel xstream,subscription
burger king,food
jiomart,groceries
indian oil india,transport
more retail app,groceries
tinder plus pvt ltd,subscription
kindle unlimited,subscription
bumble boost,subscription
air india online,transport
hdfc card,bills
act fibernet app,bills
bescom,bills
spencer's india,groceries
makemytrip,transport
adidas pvt ltd,shopping
sweet truth,food
icici card online,bills
icici card,bills
spencer's app,groceries
namma yatri app,transport
sonyliv,subscription
swiggy,food
youtube premium online,subscription
adani electricity,bills
hpcl,transport
myntra app,shopping
blusmart,transport
tata cliq,shopping
dunzo app,groceries
sweet truth service,food
bikanervala,food
mahanagar gas,bills
freshtohome,groceries
bumble boost,subscription
redbus india,transport
tendercuts,groceries
reliance digital,shopping
icloud+,subscription
blue tokai,food
haldirams,food
faasos,food
behrouz biryani app,food
tinder plus service,subscription
zee5,subscription
fastag,transport
mahanagar gas india,bills
cafe coffee day service,food
licious,groceries
westside,shopping
blue tokai,food
fastag,transport
safal,groceries
canva pro,subscription
amazon prime,subscription
zoomcar,transport
otipy,groceries
ola,transport
starbucks pvt ltd,food
disney+ hotstar,subscription
purplle,shopping
cafe coffee day,food
jiofiber app,bills
hathway online,bills
more retail service,groceries
lic premium,bills
delhi metro,transport
park+,transport
hathway,bills
goibibo,transport
bsnl,bills
myntra,shopping
country delight app,groceries
disney+ hotstar app,subscription
youtube premium,subscription
youtube premium,subscription
eatfit,food
icloud+ app,subscription
taco bell,food
goibibo service,transport
youtube premium,subscription
bigbasket pvt ltd,groceries
freshtohome india,groceries
zee5,subscription
milkbasket,groceries
revv,transport
indian oil service,transport
netflix,subscription
voot,subscription
sbi card,bills
myntra,shopping
westside,shopping
mumbai metro,transport
air india,transport
cult.fit app,subscription
excitel,bills
country delight,groceries
amazon,shopping
indigo,transport
croma,shopping
behrouz biryani,food
hdfc ergo,bills
nature's basket india,groceries
tata power service,bills
tata power app,bills
max fashion,shopping
ola,transport
goibibo,transport
delhi metro,transport
bharat petroleum,transport
flipkart,shopping
licious,groceries
adani electricity,bills
bumble boost india,subscription
indian oil.com,transport
tinder plus pvt ltd,subscription
park+ pvt ltd,transport
tira,shopping
reliance smart,groceries
redbus,transport
otipy,groceries
indraprastha gas.com,bills
cult.fit,subscription
cult.fit pvt ltd,subscription
vi,bills
cafe coffee day,food
tata cliq,shopping
dmart,groceries
max life pvt ltd,bills
eatfit app,food
max life,bills
max fashion pvt ltd,shopping
third wave coffee,food
tira,shopping
tata play,subscription
shoppers stop,shopping
tinder plus india,subscription
subway.com,food
swiggy,food
sonyliv india,subscription
sweet truth,food
shoppers stop service,shopping
fastag,transport
milkbasket,groceries
adani electricity.com,bills
kfc service,food
blinkit,groceries
canva pro pvt ltd,subscription
audible,subscription
icici card,bills
indraprastha gas,bills
safal service,groceries
icloud+ service,subscription
goibibo,transport
adidas.com,shopping
h&m,shopping
zepto,groceries
firstcry app,shopping
bumble boost india,subscription
ajio,shopping
bharat petroleum,transport
audible pvt ltd,subscription
apple music,subscription
mumbai metro pvt ltd,transport
hathway,bills
subway india,food
lenskart.com,shopping
jiofiber app,bills
zara pvt ltd,shopping
freshtohome india,groceries
mcdonalds,food
goibibo.com,transport
act fibernet,bills
decathlon,shopping
park+,transport
yulu,transport
dmart online,groceries
patanjali online,groceries
jiocinema pvt ltd,subscription
dunzo,groceries
mcdonalds pvt ltd,food
kfc app,food
faasos,food
natural ice cream online,food
jiocinema india,subscription
sweet truth app,food
goibibo pvt ltd,transport
patanjali,groceries
burger king,food
uber,transport
tata power app,bills
faasos,food
vi,bills
h&m,shopping
namma yatri,transport
decathlon india,shopping
netflix,subscription
netflix.com,subscription
vijay sales,shopping
wow momo,food
zee5.com,subscription
sbi card,bills
faasos,food
h&m india,shopping
canva pro,subscription
revv,transport
shell india,transport
more retail,groceries
ola app,transport
licious pvt ltd,groceries
licious service,groceries
hpcl india,transport
voot,subscription
airtel service,bills
reliance smart online,groceries
safal,groceries
zara pvt ltd,shopping
zara,shopping
linkedin premium pvt ltd,subscription
audible pvt ltd,subscription
bumble boost,subscription
flipkart,shopping
apple music online,subscription
safal.com,groceries
safal,groceries
air india online,transport
swiggy,food
shell online,transport
spotify online,subscription
sbi card service,bills
spencer's service,groceries
dominos,food
disney+ hotstar app,subscription
air india service,transport
social pvt ltd,food
uber pvt ltd,transport
indian oil,transport
starbucks,food
social,food
zepto pvt ltd,groceries
dominos,food
adidas,shopping
park+,transport
tata play,subscription
goibibo app,transport
icici card.com,bills
lenskart,shopping
natural ice cream pvt ltd,food
jiofiber service,bills
jiocinema,subscription
act fibernet,bills
indigo,transport
zepto,groceries
tinder plus online,subscription
instamart,groceries
dmart,groceries
spotify app,subscription
lenskart pvt ltd,shopping
taco bell india,food
kindle unlimited app,subscription
nature's basket,groceries
fastag,transport
taco bell.com,food
bikanervala online,food
ajio,shopping
hdfc card,bills
blue tokai,food
purplle app,shopping
act fibernet.com,bills
vijay sales,shopping
apple music,subscription
starbucks,food
reliance smart,groceries
lenskart app,shopping
shoppers stop.com,shopping
spotify,subscription
lifestyle app,shopping
zomato,food
cult.fit pvt ltd,subscription
shell,transport
redbus,transport
kfc,food
indian oil pvt ltd,transport
eatfit app,food
hathway,bills
zepto online,groceries
nature's basket,groceries
amul,groceries
excitel service,bills
bikanervala,food
yulu india,transport
air india india,transport
myntra online,shopping
jio,bills
amazon prime,subscription
zoomcar,transport
makemytrip,transport
bikanervala online,food
indraprastha gas,bills
amazon,shopping
disney+ hotstar,subscription
google one,subscription
google one,subscription
jiofiber app,bills
tendercuts service,groceries
hdfc card app,bills
uber app,transport
wow momo online,food
yulu,transport
bharat petroleum service,transport
zara.com,shopping
nike.com,shopping
youtube premium.com,subscription
indraprastha gas,bills
tira,shopping
patanjali app,groceries
indigo,transport
disney+ hotstar service,subscription
irctc,transport
bharat petroleum pvt ltd,transport
hathway pvt ltd,bills
safal,groceries
jiofiber,bills
indraprastha gas pvt ltd,bills
cult.fit,subscription
bigbasket,groceries
third wave coffee pvt ltd,food
h&m india,shopping
bigbasket.com,groceries
air india,transport
nature's basket.com,groceries
namma yatri,transport
kfc,food
puma,shopping
haldirams app,food
decathlon,shopping
sonyliv online,subscription
more retail india,groceries
netflix india,subscription
social service,food
lifestyle,shopping
hdfc ergo,bills
goibibo india,transport
cleartrip service,transport
blinkit,groceries
revv online,transport
natural ice cream pvt ltd,food
nike,shopping
indian oil,transport
icici card,bills
subway,food
wow momo,food
zepto,groceries
burger king,food
baskin robbins,food
dominos app,food
jiocinema service,subscription
lenskart,shopping
linkedin premium,subscription
zomato.com,food
voot,subscription
tata power,bills
vi pvt ltd,bills
instamart,groceries
bikanervala,food
redbus,transport
tinder plus service,subscription
zepto,groceries
icloud+ service,subscription
ola app,transport
dominos online,food
h&m app,shopping
barbeque nation,food
bsnl.com,bills
otipy,groceries
zee5,subscription
max life service,bills
dunzo,groceries
nike,shopping
third wave coffee service,food
nykaa,shopping
bsnl india,bills
bumble boost.com,subscription
hdfc card india,bills
irctc,transport
westside,shopping
mahanagar gas,bills
hathway service,bills
blue tokai service,food
firstcry,shopping
lic premium,bills
reliance smart,groceries
firstcry,shopping
lifestyle online,shopping
